resort,region,country,latitude,longitude,rating,beginner,intermediate,advanced,elev_base,elev_summit,elev_vertical,longest_run,snow_making,lifts_double,lifts_quad,lifts_surface,terrain_apres,terrain_family,terrain_allmnt,terrain_park,ratingcount
shawnee-mountain-ski-area,pennsylvania,usa,41.039612,-75.085258,3.2,0.26,0.48,0.26,650,1350,700,1.6,125,4,1,3,2.1,3.8,2.7,2.4,35
shawnee-peak,maine,usa,44.058994,-70.815536,3.1,0.25,0.45,0.2,600,1900,1350,0.8,234,1,1,1,2.1,3.7,2.8,2.5,20
showdown-ski-area,montana,usa,46.834595,-110.70396,3.1,0.28,0.44,0.28,6800,8200,1400,1.8,0,2,0,1,1.8,3.6,2.6,2.3,9
sierra-at-tahoe,california,usa,38.799351,-120.0809,3.5,0.25,0.5,0.15,6640,8852,2212,2.5,200,5,0,5,2.7,3.8,3.2,3,43
silver-mountain,idaho,usa,47.540638,-116.13294,3.2,0.2,0.4,0.3,4100,6300,2200,2.5,225,2,1,1,2.2,3.7,2.8,2.4,69
silver-star,british-columbia,can,50.359791,-119.05886,3.4,NA,NA,NA,3789,6283,2493,5,0,1,3,5,2.3,3.8,2.9,2.6,15
silverton-mountain,colorado,usa,37.884609,-107.66592,3.2,0,0,0,10400,13487,3087,1.5,0,1,0,0,2,3.3,2.9,2.1,48
sipapu-ski-and-summer-resort,new-mexico,usa,36.154202,-105.5481,3.2,0.2,0.4,0.3,8200,9255,1055,0.5,140,0,1,3,2.1,3.7,2.7,2.4,31
ski-apache,new-mexico,usa,33.39856,-105.70264,3.2,0.18,0.55,0.27,9600,11500,1900,2,270,0,2,2,2.1,3.8,2.7,2.4,128
ski-banff-norquay,alberta,can,51.200001,-115.635,4.1,NA,NA,NA,5512,8038,1650,0.7,161,1,2,2,3.8,4,4,3.5,4
ski-big-bear,pennsylvania,usa,41.52398272422852,-75.0233030708712,3.1,0.33,0.28,0.33,600,1250,650,1.5,26,4,0,2,2,3.6,2.6,2.2,28
ski-bromont,quebec,can,45.290882,-72.638381999999993,3.1,NA,NA,NA,541,1693,1152,0.9,200,1,5,1,2.2,3.6,2.6,2.3,17
ski-brule,michigan,usa,46.028988,-88.700523,4.4,0.35,0.35,0.24,1360,1860,500,1,150,5,0,6,4,4.6,4.1,3.9,1256
ski-butternut,massachusetts,usa,42.183659,-73.320152,3.2,0.2,0.6,0.2,800,1800,1000,1.5,110,1,3,6,2,3.8,2.7,2.3,50
ski-china-peak,california,usa,37.236526,-119.15727,3.2,0.11,0.28,0.33,7030,8709,1679,2.2,150,3,0,4,2.1,3.8,2.8,2.4,50
ski-cooper,colorado,usa,39.360786,-106.30281,3.1,0.28,0.36,0.36,10400,11700,1300,1,0,1,0,2,1.9,3.7,2.5,2.2,24
ski-granby-ranch,colorado,usa,40.045223,-105.90603,3.2,0.36,0.4,0.24,8202,9202,1000,0.6,170,1,0,1,2.1,3.8,2.7,2.4,35
ski-mystic-at-deer-mountain,south-dakota,usa,44.308327,-103.81841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ski-santa-fe,new-mexico,usa,35.796253,-105.80237,3.2,0.2,0.4,0.35,10350,12075,1725,3,275,2,1,2,2.3,3.7,2.8,2.3,85
ski-sawmill,pennsylvania,usa,41.518604,-77.290749,3.2,0.35,0.25,0.4,1700,2215,515,0.1,13,1,0,3,1.7,3.7,2.5,2.3,14
ski-snowstar-winter-sports-park,illinois,usa,41.425201,-90.746178,2.8,0.15,0.4,0.45,528,790,262,0.8,28,2,2,2,1.7,3.3,2.2,2.2,14
ski-sundown,connecticut,usa,41.884686,-72.946701,3.2,0.5,0.25,0.19,450,1075,625,1,70,0,0,2,2.1,3.6,2.6,2.4,31
ski-ward,massachusetts,usa,42.301655,-71.681969,2.6,0.3,0.5,0.2,210,420,210,0.2,45,0,0,3,1.6,3.3,2.2,2,3
sleeping-giant-ski-resort,wyoming,usa,44.495159,-109.94362,3.3,0.15,0.38,0.35,6619,7428,810,1,18,1,0,1,2.3,3.7,3,2.7,5
smugglers-notch-resort,vermont,usa,44.588467,-72.790047,3.3,0.19,0.5,0.25,1030,3640,2610,3,192,6,0,2,2.6,3.8,3.3,2.9,71
sno-mountain,pennsylvania,usa,41.351242,-75.662918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
snow-creek,missouri,usa,36.966442,-90.352608,3,0.22,0.39,0.39,800,1100,300,0.3,30,1,0,2,2,3.6,2.5,2.1,22
snow-king-resort,wyoming,usa,43.473671,-110.75479,3,0.15,0.25,0.2,6237,7808,1571,1,250,1,1,0,1.5,3,2.3,1.9,7
snow-ridge,new-york,usa,42.027332,-74.108833,2.6,0.14,0.33,0.33,1350,2000,650,0.8,65,4,0,2,1.6,3.1,2.3,1.9,7
snow-snake-mountain-ski-area,michigan,usa,43.959106,-84.78093,2.7,0.3,0.5,0.2,1020,1230,210,0,40,0,0,5,1.3,3.3,2.2,1.9,2
snow-summit,california,usa,34.220562,-116.89253,3.2,0.26,0.42,0.1,7000,8200,1200,1.2,240,5,2,3,2.2,3.7,2.7,2.4,47
snow-trails,ohio,usa,40.672787,-82.500694,2.7,0.2,0.6,0.2,1174,1475,301,0.2,80,2,0,3,1.8,3.3,2.2,2.1,16
snow-valley,california,usa,34.22488,-117.03618,3.1,0.14,0.46,0.32,6800,7841,1041,1.2,188,6,0,1,2.1,3.7,2.6,2.3,48
snowbasin,utah,usa,41.216045,-111.8569,3.6,0.11,0.43,0.24,6400,9350,2950,3.5,625,0,0,2,2.3,3.8,2.9,2.7,74
snowbird,utah,usa,40.581894,-111.6552,4,0.27,0.38,0.2,7760,11000,3240,2.5,0,6,0,1,3.4,3.4,4,3,113
snowshoe-mountain-resort,west-virginia,usa,38.410797,-79.993607,3.2,0.36,0.33,0.19,3348,4848,1500,1.5,251,0,2,3,2.6,3.4,2.8,2.8,121
snowy-range-ski-recreation-area,wyoming,usa,41.341221,-106.18352,3.2,0.3,0.4,0.3,8798,9663,990,0.7,30,3,0,1,2.1,3.8,2.7,2.4,29
soda-springs,california,usa,39.323238,-120.37993,3,0.23,0.31,0.46,6700,7352,652,0.4,20,1,0,2,1.9,3.6,2.5,2.2,17
soldier-mountain-ski-area,idaho,usa,43.484718,-114.82917,3,0.2,0.5,0.1,5800,7200,1400,0.4,0,2,0,1,1.8,3.5,2.5,2.1,9
solitude-mountain-resort,utah,usa,40.61985,-111.59189,3.5,0.1,0.4,0.36,7988,10035,2047,3,200,1,2,0,2.2,3.7,3.3,2.3,57
song-mountain,new-york,usa,42.77422,-76.158768,2.6,0.5,0.29,0.13,1240,1940,700,0.4,70,1,0,3,1.5,3.1,2.1,1.8,9
spirit-mountain,minnesota,usa,46.718269,-92.216736,3,0.32,0.41,0.27,620,1320,700,1,175,1,1,2,2,3.5,2.4,2.3,31
spout-springs,oregon,usa,45.755562,-118.05092,2.9,0.45,0.35,0.2,4850,5500,610,0.1,0,2,0,2,1.6,3.6,2.6,2.4,5
spring-mountain-ski-area,pennsylvania,usa,40.272541,-75.450058,3,0.37,0.5,0.13,78,528,450,0.2,45,3,0,2,2,3.7,2.6,2.3,52
squaw-valley-usa,california,usa,39.197605,-120.23544,3.5,0.25,0.42,0.33,6200,9050,2850,3.2,1000,10,1,7,3.3,3.4,3.7,3.1,94
steamboat,colorado,usa,40.484978,-106.83172,4,0.14,0.42,0.44,6900,10568,3668,3,375,2,1,2,3.8,4,3.8,3.7,131
stevens-pass-resort,washington,usa,47.744812,-121.08902,3.3,0.06,0.48,0.28,4061,5845,1800,1,0,3,0,0,2.2,3.7,2.9,2.5,78
stoneham,quebec,can,47.030373,-71.393021,3,NA,NA,NA,541,1946,1152,0.9,200,1,2,3,1.9,3.5,2.4,2.2,4
stowe-mountain-resort,vermont,usa,44.529732,-72.779274,3.3,0.16,0.55,0.15,2035,4395,2360,3.7,388,2,4,3,2.7,3.6,3.2,2.8,77
stratton-mountain,vermont,usa,43.113441,-72.908127,3.2,0.41,0.31,0.17,1872,3875,2003,3,570,1,3,2,2.6,3.6,2.9,2.7,90
sugar-bowl-resort,california,usa,39.300442,-120.3334,3.5,0.17,0.45,0.26,6883,8383,1500,3,375,2,3,1,2.2,3.8,3.1,2.8,28
sugar-mountain-resort,north-carolina,usa,36.129955,-81.856972,3.1,0.33,0.43,0.19,4100,5300,1200,1.5,125,4,0,2,2.1,3.5,2.6,2.3,99
sugarbush,vermont,usa,44.136108,-72.894424,3.4,0.23,0.42,0.27,1483,4083,2600,3,356,4,2,3,2.7,3.8,3.4,2.8,83
sugarloaf,maine,usa,45.031445,-70.313126,3.2,0.23,0.34,0.28,1417,4237,2820,3.5,618,5,3,2,2.2,3.7,2.8,2.4,39
suicide-six,vermont,usa,43.665062,-72.543266,3.2,0.3,0.4,0.3,550,1200,650,0.4,50,2,0,1,2.1,3.8,2.7,2.3,12
sun-peaks,british-columbia,can,50.87746,-119.91014,3.6,NA,NA,NA,4117,7060,2894,5,250,0,2,6,2.4,3.9,3.3,2.7,35
